vs_name,vs_id,ftm_name,ftm_id 
united conservatives of ohio,1565,United Conservatives Of Ohio,2823628
united conservatives of ohio,1565,United Conservatives Of Ohio,3381029
ohio chamber of commerce,68,Ohio Chamber Of Commerce,17313
ohio manufacturers association,2683,Ohio Manufacturers Association,47387004
ohio christian alliance,1320,Ohio Christian Alliance,16069662
ohio sierra club,1414,Ohio Sierra Club Oh 550,47377598
ohio sierra club,1414,Ohio Sierra Club Political Commitee,51863167
ohio sierra club,1414,Ohio Sierra Club Political Committee Oh 5500,47377646
ohio sierra club,1414,Ohio Sierra Club Political Committee-Oh550,51857662
ohio sierra club,1414,Sierra Club - Ohio Chapter Attn: Chapter Lobbyist,35931474
ohio sierra club,1414,Sierra Club - Ohio Chapterattn: Chapter Lobbyist,28741150
ohio sierra club,1414,Sierra Club Ohio Chapter,3044836
ohio sierra club,1414,Sierra Club-Ohio Chapter,27605086
ohio state medical association,1949,Ohio State Medical Association,4074
ohio strong action,3138,TimeoutException,TimeoutException
ohio veterans united,1945,TimeoutException,TimeoutException
ohio state building and trade council,3288,TimeoutException,TimeoutException
state chamber of oklahoma,2396,State Chamber Of Oklahoma,18912008
state chamber of oklahoma,2396,State Chamber Of Oklahoma,47765320
state chamber of oklahoma,2396,State Chamber Of Oklahoma,8606220
planned parenthood advocates of ohio,2461,TimeoutException,TimeoutException
oklahoma fraternal order of police,2740,Oklahoma Fraternal Order Of Police,26764500
oklahoma public employees association,2742,Oklahoma Public Employees Association,4606
national federation of independent business oklahoma,135,TimeoutException,TimeoutException
okwatchdog,1915,TimeoutException,TimeoutException
research institute for economic development,1080,TimeoutException,TimeoutException
oklahoma center for consumer and patient safety,1741,TimeoutException,TimeoutException
oklahoma second amendment association,2389,TimeoutException,TimeoutException
planned parenthood great plains votes,2393,Planned Parenthood Great Plains Votes,42513541
planned parenthood great plains votes,2393,Planned Parenthood Great Plains Votes,45182800
planned parenthood great plains votes,2393,Planned Parenthood Great Plains Votes,48849103
sooner tea party,2392,TimeoutException,TimeoutException
oklahoma conservative pac,2737,Oklahoma Conservative Pac,14726
the oklahoma constitution,2391,TimeoutException,TimeoutException
national association of social workers oregon chapter,2267,National Association Of Social Workers - Oregon Chapter,43696743
national association of social workers oregon chapter,2267,National Association Of Social Workers-Oregon Chapter,49945416
national association of social workers oregon chapter,2267,National Association Of Social Workers-Oregon Chapter,53797247
national association of social workers oregon chapter,2267,National Association Of Social Workers-Oregon Chapter,54857710
national association of social workers oregon chapter,2267,National Association Of Social Workers-Oregon Chapter,55560402
national association of social workers oregon chapter,2267,Oregon Chapter National Association Of Social Workers,4977917
oregon state public interest research group,2694,Oregon State Public Interest Research Group,43696855
oregon state public interest research group,2694,Oregon State Public Interest Research Group,49945177
oregon state public interest research group,2694,Oregon State Public Interest Research Group,53797043
oregon state public interest research group,2694,Oregon State Public Interest Research Group,54857621
oregon state public interest research group,2694,Oregon State Public Interest Research Group,55560332
planned parenthood advocates of oregon,1422,Planned Parenthood Advocates Of Oregon,49945456
planned parenthood advocates of oregon,1422,Planned Parenthood Advocates Of Oregon,53797058
planned parenthood advocates of oregon,1422,Planned Parenthood Advocates Of Oregon,54857501
planned parenthood advocates of oregon,1422,Planned Parenthood Advocates Of Oregon,55560229
oregon firearms federation,2266,Oregon Firearms Federation,4981308
oregon firearms federation,2266,Oregon Firearms Federation,49945757
oregon firearms federation,2266,Oregon Firearms Federation,53797543
oregon firearms federation,2266,Oregon Firearms Federation,54858046
oregon league of conservation voters,562,Oregon League Of Conservation Voters,4012
oregon now national organization for women,1576,TimeoutException,TimeoutException
oregon school employees association,2053,Oregon School Employees Association,10817192
oregon school employees association,2053,Oregon School Employees Association,8347
independents for progressive action,3002,TimeoutException,TimeoutException
oregonians for immigration reform,376,Oregonians For Immigration Reform,4993411
oregonians for food and shelter,683,TimeoutException,TimeoutException
national federation of independent business oregon,1622,National Federation Of Independent Business Oregon,45816957
oregon sierra club,227,Oregon Sierra Club Pac 252,41431919
oregon sierra club,227,Sierra Club - Oregon Chapter,18982288
oregon sierra club,227,Sierra Club Of Oregon,39715655
oregon sierra club,227,Sierra Club Of Oregon,49945632
oregon sierra club,227,Sierra Club Oregon Chapter,18982280
oregon sierra club,227,Sierra Club Oregon Chapter,18982281
oregon sierra club,227,Sierra Club Oregon Chapter Marys Peak Group,5067906
oregon sierra club,227,"Sierra Club, Oregon Chapter",46849673
the humane society of the united states oregon,1828,TimeoutException,TimeoutException
oregon single payer advocates,3003,TimeoutException,TimeoutException
oregon farm bureau,1589,Oregon Farm Bureau,19003
national rifle association political victory fund,232,TimeoutException,TimeoutException
oregon humane society,2127,Oregon Humane Society,10683441
oregon humane society,2127,Oregon Humane Society,49946098
oregon humane society,2127,Oregon Humane Society,53797866
oregon humane society,2127,Oregon Humane Society,54858404
oregon humane society,2127,Oregon Humane Society,55560947
oregon afscme council 75,2054,Oregon Afscme Council 75,45321708
oregon education association,777,Oregon Education Association,20258
oregon anti crime alliance,2141,Oregon Anti Crime Alliance Inc,29717990
oregon anti crime alliance,2141,Oregon Anti-Crime Alliance,14797
oregon anti crime alliance,2141,Oregon Anti-Crime Alliance,27678000
oregon anti crime alliance,2141,Oregon Anti-Crime Alliance Inc,25745046
oregon anti crime alliance,2141,Oregon Anti-Crime Alliance Pac (16800),28759381
oregon gun owners,854,Oregon Gun Owners,32615373
oregon gun owners,854,Oregon Gun Owners,4982173
oregon gun owners,854,Oregon Gun Owners,49945382
oregon gun owners,854,Oregon Gun Owners,53797215
oregon gun owners,854,Oregon Gun Owners,54858360
oregon gun owners,854,Oregon Gun Owners,55560915
oregon afl cio,1575,Oregon Afl-Cio,20163
oregon afl cio,1575,Oregon Afl-Cio Political Field Fund,46636006
oregon business industry,2264,Oregon Business & Industry,53797837
oregon business industry,2264,Oregon Business & Industry,5408134
oregon business industry,2264,Oregon Business & Industry,54858260
oregon business industry,2264,Oregon Business & Industry,55560843
pennsylvania state troopers association,2604,Pennsylvania State Troopers Association,15019
oregon state chamber of commerce,2693,Oregon State Chamber Of Commerce,21489
service employees international union seiu local 503,1444,TimeoutException,TimeoutException
firearms owners against crime,1236,Firearms Owners Against Crime Foac,52406086
naral pro choice pennsylvania,779,TimeoutException,TimeoutException
service employees international union seiu oregon state council,2999,TimeoutException,TimeoutException
pennsylvania state education association,2606,Pennsylvania State Education Association,20261
pennsylvania league of conservation voters,1438,Pennsylvania League Of Conservation Voters,5120406
ufcw united food and commercial workers local 1776 keystone state,2937,TimeoutException,TimeoutException
service employees international union seiu healthcare pennsylvania,2642,TimeoutException,TimeoutException
represent pa,2448,2009 Campaign Account Arkansas State Representative John Paul Wells,9706764
